primeiro_nome;ultimo_nome;endereco;cidade;estado;pais;aqius;classificacao_aqi
ROLAND;SOUTH;1993 0 Loop;Yingkou;Liaoning;China;73.0;Moderado (Amarelo)
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;Corrientes;Argentina;;Desconhecido
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;La Pampa;Argentina;;Desconhecido
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;Mendoza;Argentina;;Desconhecido
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;Rio Grande do Sul;Brazil;;Desconhecido
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;Bolívar;Colombia;;Desconhecido
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;Cauca Department;Colombia;;Desconhecido
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;;Curaçao;;Desconhecido
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;El Oro;Ecuador;;Desconhecido
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;Tungurahua Province;Ecuador;;Desconhecido
ARNOLD;HAVENS;1176 Southend-on-Sea Manor;Santa Rosa;Veracruz;Mexico;;Desconhecido
HARVEY;GUAJARDO;600 Purnea (Purnia) Avenue;Vinh;;;;Desconhecido
JARED;ELY;1003 Qinhuangdao Street;Purwakarta;West Java;Indonesia;79.0;Moderado (Amarelo)
ADRIAN;CLARY;1986 Sivas Place;Udine;Friuli Venezia Giulia;Italy;;Desconhecido
KARL;SEAL;1427 Tabuk Place;Cape Coral;;;;Desconhecido
CORY;MEEHAN;556 Asuncin Way;Mogiljov;;;;Desconhecido
CLAUDE;HERZOG;486 Ondo Parkway;Benguela;Benguela;Angola;;Desconhecido
ERIK;GUILLEN;635 Brest Manor;Bhimavaram;Andhra Pradesh;India;;Desconhecido
DARRYL;ASHCRAFT;166 Jinchang Street;Ezeiza;Buenos Aires;Argentina;;Desconhecido
JAMIE;WAUGH;958 Sagamihara Lane;Kuwana;;;;Desconhecido
NEIL;RENNER;1817 Livorno Way;Cam Ranh;;;;Desconhecido
JESSIE;MILAM;1332 Gaziantep Lane;Binzhou;Shandong;China;96.0;Moderado (Amarelo)
CHRISTIAN;JUNG;949 Allende Lane;Amroha;Uttar Pradesh;India;;Desconhecido
JAVIER;ELROD;195 Ilorin Street;NDjamna;;;;Desconhecido
FERNANDO;CHURCHILL;193 Bhusawal Place;Tonghae;;;;Desconhecido
CLINTON;BUFORD;43 Vilnius Manor;Aurora;Ceará;Brazil;;Desconhecido
CLINTON;BUFORD;43 Vilnius Manor;Aurora;Ontario;Canada;;Desconhecido
TED;BREAUX;183 Haiphong Street;Baicheng;Henan;China;;Desconhecido
TED;BREAUX;183 Haiphong Street;Baicheng;Jilin;China;38.0;Bom (Verde)
TED;BREAUX;183 Haiphong Street;Baicheng;Shandong;China;;Desconhecido
MATHEW;BOLIN;163 Augusta-Richmond County Loop;Valencia;Córdoba;Colombia;;Desconhecido
MATHEW;BOLIN;163 Augusta-Richmond County Loop;Valencia;Los Ríos;Ecuador;;Desconhecido
MATHEW;BOLIN;163 Augusta-Richmond County Loop;Valencia;Valencia;Spain;34.0;Bom (Verde)
TYRONE;ASHER;191 Jos Azueta Parkway;Ruse;New South Wales;Australia;;Desconhecido
TYRONE;ASHER;191 Jos Azueta Parkway;Ruse;Ruse;Bulgaria;31.0;Bom (Verde)
DARREN;WINDHAM;379 Lublin Parkway;Livorno;Tuscany;Italy;;Desconhecido
LONNIE;TIRADO;1658 Cuman Loop;Pangkal Pinang;;;;Desconhecido
LANCE;PEMBERTON;454 Qinhuangdao Drive;Beni-Mellal;;;;Desconhecido
CODY;NOLEN;1715 Okayama Street;So Bernardo do Campo;;;;Desconhecido
JULIO;NOLAND;182 Nukualofa Drive;Konotop;;;;Desconhecido
KELLY;KNOTT;390 Wroclaw Way;Sanya;Hainan;China;33.0;Bom (Verde)
KURT;EMMONS;1421 Quilmes Lane;Kanazawa;Ishikawa;Japan;39.0;Bom (Verde)
ALLAN;CORNISH;947 Trshavn Place;Tarlac;;;;Desconhecido
NELSON;CHRISTENSON;1764 Jalib al-Shuyukh Parkway;Santiago de Compostela;Galicia;Spain;34.0;Bom (Verde)
GUY;BROWNLEE;346 Cam Ranh Avenue;Zhoushan;Zhejiang;China;58.0;Moderado (Amarelo)
CLAYTON;BARBEE;1407 Pachuca de Soto Place;Alvorada;Rio Grande do Sul;Brazil;;Desconhecido
CLAYTON;BARBEE;1407 Pachuca de Soto Place;Alvorada;Tocantins;Brazil;;Desconhecido
HUGH;WALDROP;904 Clarksville Drive;Haining;Zhejiang;China;;Desconhecido
MAX;PITT;1917 Kumbakonam Parkway;Novi Sad;;;;Desconhecido
DWAYNE;OLVERA;1447 Imus Place;Rajkot;;;;Desconhecido
DWIGHT;LOMBARDI;1497 Fengshan Drive;Chatsworth;Queensland;Australia;;Desconhecido
ARMANDO;GRUBER;869 Shikarpur Way;Southport;Queensland;Australia;;Desconhecido
ARMANDO;GRUBER;869 Shikarpur Way;Southport;England;United Kingdom;;Desconhecido
FELIX;GAFFNEY;1059 Yuncheng Avenue;Vilnius;Vilnius;Lithuania;26.0;Bom (Verde)
JIMMIE;EGGLESTON;505 Madiun Boulevard;Wroclaw;;;;Desconhecido
EVERETT;BANDA;1741 Hoshiarpur Boulevard;Bilbays;;;;Desconhecido
JORDAN;ARCHULETA;1229 Varanasi (Benares) Manor;Avellaneda;Santa Fe;Argentina;;Desconhecido
JORDAN;ARCHULETA;1229 Varanasi (Benares) Manor;Avellaneda;Buenos Aires;Argentina;;Desconhecido
JORDAN;ARCHULETA;1229 Varanasi (Benares) Manor;Avellaneda;Basque Country;Spain;;Desconhecido
JORDAN;ARCHULETA;1229 Varanasi (Benares) Manor;Avellaneda;Castille and León;Spain;;Desconhecido
IAN;STILL;1894 Boa Vista Way;Garland;;;;Desconhecido
WALLACE;SLONE;1342 Sharja Way;Sokoto;;;;Desconhecido
KEN;PREWITT;1342 Abha Boulevard;Bucuresti;;;;Desconhecido
BOB;PFEIFFER;415 Pune Avenue;Xintai;Shandong;China;;Desconhecido
JAIME;NETTLES;1746 Faaa Way;Hunuco;;;;Desconhecido
CASEY;MENA;539 Hami Way;Tokat;;;;Desconhecido
ALFREDO;MCADAMS;1407 Surakarta Manor;Serpuhov;;;;Desconhecido
ALBERTO;HENNING;502 Mandi Bahauddin Parkway;Barcelona;Catalonia;Spain;47.0;Bom (Verde)
DAVE;GARDINER;1052 Pathankot Avenue;Leshan;Sichuan;China;82.0;Moderado (Amarelo)
IVAN;CROMWELL;1351 Sousse Lane;Monclova;;;;Desconhecido
JOHNNIE;CHISHOLM;1501 Pangkal Pinang Avenue;Plock;;;;Desconhecido
SIDNEY;BURLESON;1405 Hagonoy Avenue;Czestochowa;;;;Desconhecido
BYRON;BOX;521 San Juan Bautista Tuxtepec Place;Zhezqazghan;Ulytau Region;Kazakhstan;;Desconhecido
JULIAN;VEST;923 Tangail Boulevard;Akishima;Tokyo;Japan;;Desconhecido
ISAAC;OGLESBY;186 Skikda Lane;Cuernavaca;Morelos;Mexico;;Desconhecido
MORRIS;MCCARTER;1568 Celaya Parkway;Fengshan;Yunnan;China;;Desconhecido
MORRIS;MCCARTER;1568 Celaya Parkway;Fengshan;Hubei;China;;Desconhecido
MORRIS;MCCARTER;1568 Celaya Parkway;Fengshan;Fujian;China;;Desconhecido
MORRIS;MCCARTER;1568 Celaya Parkway;Fengshan;Guangxi;China;;Desconhecido
CLIFTON;MALCOLM;1489 Kakamigahara Lane;Tanshui;;;;Desconhecido
WILLARD;LUMPKIN;1819 Alessandria Loop;Carmen;;;;Desconhecido
DARYL;LARUE;1208 Tama Loop;Mosul;Nineveh;Iraq;;Desconhecido
ROSS;GREY;951 Springs Lane;Iligan;;;;Desconhecido
VIRGIL;WOFFORD;760 Miyakonojo Drive;Jos Azueta;;;;Desconhecido
ANDY;VANHORN;966 Asuncin Way;Huejutla de Reyes;Hidalgo;Mexico;;Desconhecido
MARSHALL;THORN;1584 Ljubertsy Lane;Southampton;England;United Kingdom;32.0;Bom (Verde)
SALVADOR;TEEL;247 Jining Parkway;Banjul;Banjul;Gambia;99.0;Moderado (Amarelo)
PERRY;SWAFFORD;773 Dallas Manor;Quilmes;Buenos Aires;Argentina;;Desconhecido
KIRK;STCLAIR;1923 Stara Zagora Lane;Tsaotun;;;;Desconhecido
SERGIO;STANFIELD;1402 Zanzibar Boulevard;Celaya;;;;Desconhecido
MARION;OCAMPO;1464 Kursk Parkway;Weifang;Shandong;China;96.0;Moderado (Amarelo)
TRACY;HERRMANN;1074 Sanaa Parkway;Loja;Loja;Ecuador;;Desconhecido
TRACY;HERRMANN;1074 Sanaa Parkway;Loja;Andalusia;Spain;;Desconhecido
SETH;HANNON;1759 Niznekamsk Avenue;al-Manama;;;;Desconhecido
KENT;ARSENAULT;32 Liaocheng Way;Juiz de Fora;Minas Gerais;Brazil;;Desconhecido
TERRANCE;ROUSH;42 Fontana Avenue;Szkesfehrvr;;;;Desconhecido
RENE;MCALISTER;1895 Zhezqazghan Drive;Garden Grove;;;;Desconhecido
EDUARDO;HIATT;1837 Kaduna Parkway;Jining;Shandong;China;106.0;Ruim para Grupos Sensíveis (Laranja)
EDUARDO;HIATT;1837 Kaduna Parkway;Jining;Inner Mongolia;China;;Desconhecido
EDUARDO;HIATT;1837 Kaduna Parkway;Jining;Arunachal Pradesh;India;;Desconhecido
TERRENCE;GUNDERSON;844 Bucuresti Place;Jinzhou;Liaoning;China;58.0;Moderado (Amarelo)
TERRENCE;GUNDERSON;844 Bucuresti Place;Jinzhou;Hebei;China;;Desconhecido
ENRIQUE;FORSYTHE;1101 Bucuresti Boulevard;Patras;;;;Desconhecido
FREDDIE;DUGGAN;1103 Quilmes Boulevard;Sullana;;;;Desconhecido
WADE;DELVALLE;1331 Usak Boulevard;Lausanne;Vaud;Switzerland;31.0;Bom (Verde)
AUSTIN;CINTRON;1325 Fukuyama Street;Tieli;Heilongjiang;China;;Desconhecido
